,x,y,z,Axon_to_Soma Length,Mylin_Metric,Axon_Radius
77,285730.0,258366.75000000003,22328.575,327.93387,82.80946837407839,999.0565082762702
78,285730.0,258081.5,22303.85,326.4239,83.30353950661423,1338.7698164682547
79,285733.25,257787.75000000003,22280.3,324.91785,87.02004757050629,1516.439600547816
80,285751.75,257464.25,22261.075,323.41077,87.49351323300468,1107.3829377215566
81,285828.5,257116.75000000003,22248.5,321.90103,98.63907003118798,1057.0497037538792
82,285936.0,256768.50000000003,22239.325,320.3977,84.73772321428571,922.1687168666529
83,286057.75,256430.75,22229.725,318.91113,87.24428399518652,910.7345320672795
84,286162.25,256165.25,22205.0,317.40094,90.34608378870675,1051.9505729894504
85,286317.75,255921.0,22183.0,315.94635,100.0,1062.918339950815
86,286405.25,255639.75,22160.3,314.4589,97.90521978021978,711.0014732355783
87,286541.25,255363.5,22144.0,313.0653,99.46680885097308,1063.4207576461106
88,286791.75,255108.25,22138.8,311.61972,100.0,746.4170283362807
89,286934.75,254827.75,22118.075,310.11197,83.3488084184463,742.35165114126
90,287065.25,254524.25,22099.775,308.60132,94.47312481020346,788.6938793627734
91,287339.75,254316.0,22087.525,307.13855,100.0,920.5565625359278
92,287563.5,254077.5,22069.4,305.643,99.85621854780733,957.8655940772394
93,287837.25,253878.25,22054.9,304.16968,94.83154670750383,1040.8541706493797
94,287999.0,253671.75,22032.475,302.7893,97.06959706959707,1017.8372965314375
95,288129.25,253442.25,22005.65,301.28412,100.0,1199.896967482088
96,288394.5,253282.5,21984.4,299.78195,96.25925925925925,1238.2384083329016
97,288621.75,253047.25,21966.2,298.2847,100.0,1242.7234630506314
98,288873.0,252808.0,21951.85,296.7829,93.12851007598282,1236.0663763665102
99,289120.25,252539.5,21943.05,295.28107,81.71786459886668,1165.1864659835298
100,289337.0,252242.5,21934.7,293.7729,74.54545454545455,1430.1392602043732
101,289605.5,251981.5,21937.35,292.27136,66.42831605291384,1501.6746149800572
102,289883.5,251726.5,21938.775,290.76138,68.07037784828381,1483.9540055378338
103,290155.75,251472.75,21944.375,289.25595,97.29899497487438,1326.1996434334712
104,290455.5,251251.5,21950.5,287.7457,98.42914438502673,1311.2804583685918
105,290723.0,250993.0,21956.2,286.24036,88.39004861309694,1136.1251378532825
106,291016.25,250757.25,21957.925,284.7337,86.44818423383526,985.1366358169856
107,291329.25,250547.5,21959.35,283.22552,83.53541799617102,656.6675778226108
108,291622.75,250313.75,21963.75,281.7144,76.59125188536954,524.2310878983075
109,291918.25,250082.25,21967.575,280.20508,67.42446043165468,649.0630827748481
110,292250.5,249906.75,21969.7,278.69965,68.48965712666478,654.6060010086593
111,292588.75,249740.75,21967.9,277.1908,76.77053824362606,680.2844664545281
112,292907.25,249539.25,21966.875,275.68268,89.55525606469003,857.561824925613
